NAME,LATITUDE,LONGITUDE
A-Ri-Rang,40.1113691,-88.2290013
3 Ravens,40.0250149,-88.5728654
Salad Meister,40.111409,-88.036978
Longbranch Steakhouse,40.3053144,-88.0214734
Siam Terrace,40.1125742,-88.2095509
Yoder's Kitchen,39.709607,-88.458551
Seven Saints,40.1165582,-88.2419945
Po' Boys Restaurant,40.1177173,-88.2058577
The Hub Champaign,40.8098072,-96.7202743
Steeple Gallery,40.0240523,-88.571324
Mango Mango,40.142697,-88.242566
Villa Italian Kitchen,40.14117,-88.2430531
The Pop Stop,40.118167,-88.243474
Legends Bar & Grill,40.1103677,-88.2315951
Sakanaya,40.1101552,-88.2330881
Quality Bar,40.1169757,-88.2434097
Longview Tavern,39.8849568,-88.0641262
